old_path,new_path,lossy_truncated,ext_missing
files/_EC_86_8C_EB_B0_A9_EC_8B_9C_EC_84_A4_20_EC_84_A4_EC_B9_98_20_EA_B5_AD_EA_B0_80_ED_99_94_EC_9E_AC_EC_95_88_EC_A0_84_EC_84_B1_EB_8A_A5_EA_B8_B0_EC_A4_80.pdf,files/소방시설 설치 국가화재안전성능기준.pdf,False,False
files/_EC_A7_80_ED_95_98_EC_95_88_EC_A0_84_EA_B4_80_EB_A6_AC_EC_97_90_20_EA_B4_80_ED_95_9C_20_ED_8A_B9_EB_B3_84_EB_B2_95_EB_A0_B9_EC_A7_91.pdf,files/지하안전관리에 관한 특별법령집.pdf,False,False
files/_EA_B3_B5_EA_B3_B5_EB_B3_B4_EA_B1_B4_EC_9D_98_EB_A3_8C.pdf,files/공공보건의료.pdf,False,False
files/_ED_8A_B9_ED_97_88_EC_99_80_20_EB_AF_BC_EB_B2_95.pdf,files/특허와 민법.pdf,False,False
files/_EC_8B_9C_EB_8F_84_EB_B3_84_20_EC_A3_BC_ED_83_9D_EC_9D_98_20_EC_86_8C_EB_B0_A9_EC_8B_9C_EC_84_A4_20_EC_84_A4_EC_B9_98_20_EC_A1_B0_EB_A1_80.pdf,files/시도별 주택의 소방시설 설치 조례.pdf,False,False
files/_EC_86_8C_EB_B0_A9_EC_9C_84_20_EC_8A_B9_EC_A7_84_EC_8B_9C_ED_97_98_EA_B4_80_EB_A0_A8_20_EB_B2_95_EB_A0_B9_EB_AA_A8_EC_9D_8C.pdf,files/소방위 승진시험관련 법령모음.pdf,False,False
files/_EA_B0_90_EC_A0_95_ED_8F_89_EA_B0_80_EC_82_AC_20_EC_8B_9C_ED_97_98_EC_9A_A9.pdf,files/감정평가사 시험용.pdf,False,False
files/_EC_9D_B8_EC_82_AC_EA_B4_80_EA_B3_84_20_EB_B2_95_EB_A0_B9_EC_A7_91_28_EA_B5_AC_EB_AF_B8_EC_8B_9C_29.pdf,files/인사관계 법령집(구미시).pdf,False,False
files/_EB_8C_80_ED_95_9C_EB_AF_BC_EA_B5_AD_ED_97_8C_EB_B2_95.pdf,files/대한민국헌법.pdf,False,False
files/_EA_B3_B5_EC_82_AC_EA_B3_84_EC_95_BD_EA_B4_80_EB_A0_A8_EB_B2_95_EB_A0_B9_EC_A7_91.pdf,files/공사계약관련법령집.pdf,False,False
files/_EC_A7_80_EB_B0_A9_EA_B3_B5_EB_AC_B4_EC_9B_90_20_EC_9D_B8_EC_82_AC_EA_B4_80_EB_A0_A8_20_EB_B2_95_EB_A0_B9.pdf,files/지방공무원 인사관련 법령.pdf,False,False
files/_EC_98_88_EB_B9_84_EC_A0_84_EB_A0_A5_EA_B4_80_EB_A6_AC_20_EC_97_85_EB_AC_B4_EB_8B_B4_EB_8B_B9_EC_9E_90_20_EC_84_A0_EB_B0_9C.pdf,files/예비전력관리 업무담당자 선발.pdf,False,False
files/_EC_A7_80_ED_95_98_EC_88_98_EB_B2_95.pdf,files/지하수법.pdf,False,False
files/_ED_8F_90_EA_B8_B0_EB_AC_BC_EC_9D_98_20_EA_B5_AD_EA_B0_80_20_EA_B0_84_20_EC_9D_B4_EB_8F_99_20_EB_B0_8F_20_EA_B7_B8_20_EC_B2_98_EB_A6_AC_EC_97_90_20_EA_B4_80_ED_95_9C_20_EB_B2_95_EB,files/폐기물의 국가 간 이동 및 그 처리에 관한 법.pdf,True,True
files/_EB_85_B8_EB_8F_99_EC_A1_B0_ED_95_A9_EB_B2_95_EB_A0_B9.pdf,files/노동조합법령.pdf,False,False
files/_ED_95_98_EC_88_98_EB_8F_84_EB_B2_95.pdf,files/하수도법.pdf,False,False
files/_EC_98_88_EB_B9_84_EC_A0_84_EB_A0_A5_EA_B4_80_EB_A6_AC_20_EC_97_85_EB_AC_B4_EB_8B_B4_EB_8B_B9_EC_9E_90_20_EC_84_A0_EB_B0_9C_20_ED_95_84_EA_B8_B0_EC_8B_9C_ED_97_98.pdf,files/예비전력관리 업무담당자 선발 필기시험.pdf,False,False
files/_EC_9E_90_EB_8F_99_EC_B0_A8.pdf,files/자동차.pdf,False,False
files/_EC_9E_A5_EC_95_A0_EC_9D_B8_EA_B3_A0_EC_9A_A9_EC_B4_89_EC_A7_84_EB_B2_95_EB_A0_B9.pdf,files/장애인고용촉진법령.pdf,False,False
files/_EC_9B_90_EC_9E_90_EB_A0_A5_EC_95_88_EC_A0_84_EB_B2_95_EB_A0_B9.pdf,files/원자력안전법령.pdf,False,False
files/_EA_B5_AD_EA_B0_80_EA_B3_84_EC_95_BD_EB_B2_95_EB_A0_B9_EC_A7_91.pdf,files/국가계약법령집.pdf,False,False
files/_EC_84_B8_EC_A2_85_EC_8B_9C_EA_B5_90_EC_9C_A1_EC_B2_AD_20_ED_9B_88_EB_A0_B9.pdf,files/세종시교육청 훈령.pdf,False,False
files/_EB_8F_84_EC_8B_9C_EC_88_B2_20_EB_93_B1_EC_9D_98_20_EC_A1_B0_EC_84_B1_20_EB_B0_8F_20_EA_B4_80_EB_A6_AC_EC_97_90_20_EA_B4_80_ED_95_9C_20_EB_B2_95_EB_A5_A0.pdf,files/도시숲 등의 조성 및 관리에 관한 법률.pdf,False,False
